Quantity,Name,Foil,Condition,Language,Tags,Edition Name,Edition Code,Multiverse Id,Scryfall ID,MTGO ID,
1,"Nissa, Who Shakes the World",False,NM,EN,,War of the Spark,war,461096,f857bbe4-5619-4733-a0c7-69700f2ef4f3,71944,169
1,Psychotic Haze,False,NM,EN,,Torment,tor,33691,8d3f6cd2-0138-40e7-a975-3f7c68db0d93,17183,76
1,"Yorvo, Lord of Garenbrig",False,NM,EN,,Throne of Eldraine,eld,0,85311717-07f7-4be5-902c-0df1307bf5b5,0,376
1,Solidarity of Heroes,False,NM,EN,,Journey into Nyx,jou,380502,9ba88e10-d306-44df-bdbf-f5ba85887fe8,52262,141
1,"Rishkar, Peema Renegade",False,NM,EN,,Jumpstart,jmp,489408,b3a35e69-145f-4cb0-b7f1-0eac8638afbe,0,425
1,Oran-Rief Ooze,False,NM,EN,,Zendikar Rising,znr,495648,06f4293f-94ba-4702-9515-fd06df806169,0,361
1,Loyal Guardian,False,NM,EN,,Commander 2018,c18,450632,1fc62139-cbb3-43e2-852e-9242a8a53153,0,31
1,Inspiring Call,False,NM,EN,,Zendikar Rising Commander,znc,496008,6221f00b-39dc-423a-bace-1bc15e1e91f7,0,70
1,"Garruk, Unleashed",False,NM,EN,,Core Set 2021,m21,485506,af2fdbec-bca2-4af5-9c2a-28b0b35b18a3,81593,183
1,Death's Presence,False,NM,EN,,Return to Ravnica,rtr,270793,fa82c57d-4bb9-407c-b973-7abc793b6f47,46755,121
1,Whirlwind Denial,False,NM,EN,,Strixhaven Mystical Archive,sta,517573,f7a0c25a-8760-44ea-a418-fcd4a9761632,89103,23
1,Strategic Planning,False,NM,EN,,Strixhaven Mystical Archive,sta,517570,fd7b2ee8-9f2f-4624-a788-15b88e6a2d50,89097,20
1,Thrill of Possibility,False,NM,EN,,Strixhaven Mystical Archive,sta,517596,78ba24c2-73c3-4630-bb8e-7431e5b3aebd,89149,46
1,Negate,False,NM,EN,,Strixhaven Mystical Archive,sta,517568,5bfe3a17-3349-4fcc-a9b5-418faa55cc43,89093,18
1,Zendikar's Roil,False,NM,EN,,Jumpstart,jmp,489431,180aa3d6-8475-4c98-a140-af736a9c135e,0,448
1,"Yidaro, Wandering Monster",False,NM,EN,,Ikoria: Lair of Behemoths,iko,479661,b540c7c6-5b9e-4606-ac84-e583a62a3647,80291,141
1,"Yavimaya, Cradle of Growth",False,NM,EN,,Modern Horizons 2,mh2,525146,ee7c2820-e36e-4024-a542-02ca42bb7e2f,0,480
1,Veinwitch Coven,False,NM,EN,,Commander 2021,c21,521642,c13e1d08-8926-4b80-9a48-a1e8c1847b6f,0,373
1,Vault of Champions,False,NM,EN,,Commander Legends,cmr,497880,0e144ae1-500d-4485-b476-5783b14380d9,85502,360
1,Undergrowth Stadium,False,NM,EN,,Commander Legends,cmr,497879,df64c9cf-17de-44f3-831d-ba09661f2308,85500,359
1,Trudge Garden,False,NM,EN,,Commander 2021,c21,521665,ca77dda1-d21f-47db-8f6f-778eadaefb1d,0,396
1,Terminal Agony,False,NM,EN,,Modern Horizons 2,mh2,522291,314e94ad-0e12-48bb-aae1-2c842943114a,90811,215
1,Tavern Scoundrel,False,NM,EN,,Modern Horizons 2,mh2,522220,55082c8a-d792-4cd8-94b1-d80c65804463,90665,144
1,Sweltering Suns,False,NM,EN,,Amonkhet,akh,426851,f11cd406-c6ae-4018-ae45-4e5577aa82ae,63900,149
1,Spawning Bed,False,NM,EN,,Battle for Zendikar,bfz,402046,e3a532b2-de88-40af-8961-b01eada05bd3,58727,248
