Quantity,Name,Edition Name,Edition Code
1,Spell Pierce,Zendikar,zen
1,Narset's Reversal,War of the Spark,war
1,Mesmeric Orb,Mirrodin,mrd
1,Exotic Orchard,Conflux,con
1,Dovin's Veto,War of the Spark,war
1,Opt,Dominaria,dom
1,"Liliana, Dreadhorde General",War of the Spark,war
1,"Kasmina, Enigmatic Mentor",War of the Spark,war
1,Sunpetal Grove,Magic 2012,m12
1,Time Spiral,Urza's Saga,usg
1,Sarkhan the Masterless,War of the Spark Promos,pwar
1,Mindcrank,New Phyrexia,nph
1,Negate,Morningtide,mor
1,Fling,Dark Ascension,dka
1,Bloodchief Ascension,Zendikar,zen
1,Whispersilk Cloak,Magic 2010,m10
1,Rootbound Crag,Magic 2010,m10
1,Shivan Reef,Magic 2015,m15
1,Spire Garden,Battlebond,bbd
1,Breeding Pool,Gatecrash,gtc
1,Fire-Lit Thicket,Shadowmoor,shm
1,Eternal Witness,Modern Masters,mma
1,Homeward Path,Commander 2013,c13
1,Stomping Ground,Gatecrash,gtc
1,Twilight Mire,Eventide,eve
1,Solemnity,Hour of Devastation,hou
1,Flooded Grove,Eventide,eve
1,Temple of Mystery,Core Set 2020,m20
1,Temple of Epiphany,Core Set 2020,m20
1,Desolate Lighthouse,Ultimate Masters,uma
1,Yavimaya Coast,Magic 2015,m15
1,Llanowar Wastes,Magic 2015,m15
1,Tidehollow Sculler,Shards of Alara,ala
1,Imperious Perfect,Lorwyn,lrw
1,Mana Tithe,Planar Chaos,plc
1,Talisman of Impulse,Mirrodin,mrd
1,Cleansing Meditation,Torment,tor
1,Avacyn's Pilgrim,Modern Masters 2017,mm3
1,Invoke the Firemind,Guildpact,gpt
1,Ley Weaver,Battlebond,bbd
1,Delirium Skeins,Dissension,dis
1,Pain Magnification,Dissension,dis
1,Frozen Aether,Planar Chaos,plc
1,Skull Rend,Return to Ravnica,rtr
1,Psychic Strike,Gatecrash,gtc
1,Soul's Fire,Shards of Alara,ala
1,Leonin Relic-Warder,Mirrodin Besieged,mbs
1,Viridian Corrupter,Mirrodin Besieged,mbs
1,Leyline of Anticipation,Core Set 2020,m20
1,Yawgmoth's Will,Urza's Saga,usg
1,Yavimaya Hollow,Urza's Destiny,uds
1,Wrath of God,Classic Sixth Edition,6ed
2,Winter Orb,Fourth Edition,4ed
1,Windfall,Urza's Saga,usg
1,Wall of Roots,Mirage,mir
1,Volrath's Stronghold,Stronghold,sth
1,Turnabout,Urza's Saga,usg
1,Tormod's Crypt,Friday Night Magic 2008,f08
1,Tithe,Visions,vis
1,Tinker,Urza's Legacy,ulg
2,The Rack,Revised Edition,3ed
1,The Rack,Fourth Edition,4ed
1,Survival of the Fittest,Exodus,exo
1,Stroke of Genius,Urza's Saga,usg
1,Strip Mine,Fourth Edition,4ed
1,Static Orb,Tempest,tmp
1,Sphere of Resistance,Exodus,exo
1,Seeker of Skybreak,Tempest,tmp
1,Red Elemental Blast,Fourth Edition,4ed
1,Recycle,Tempest,tmp
4,Quirion Ranger,Visions,vis
1,Quicksilver Amulet,Urza's Legacy,ulg
2,Pyroblast,Fifth Edition,5ed
1,Priest of Titania,Urza's Saga,usg
3,Pox,Ice Age,ice
1,Phyrexian Reclamation,Urza's Legacy,ulg
1,Phyrexian Arena,Apocalypse,apc
1,Nightscape Familiar,Planeshift,pls
1,Necropotence,Fifth Edition,5ed
4,Natural Order,Visions,vis
1,Mystic Remora,Ice Age,ice
1,Mox Diamond,Stronghold,sth
1,Mind Twist,Fourth Edition,4ed
1,Mindslicer,Odyssey,ody
1,Merchant Scroll,Homelands,hml
1,Memory Jar,Urza's Legacy,ulg
1,Mana Vault,Fifth Edition,5ed
1,Lotus Petal,Tempest,tmp
1,Lim-Dûl's Vault,Alliances,all
1,Kaysa,Alliances,all
1,"Karn, Silver Golem",Urza's Saga,usg
1,Karmic Guide,Urza's Legacy,ulg
1,Intuition,Tempest,tmp
2,Innocent Blood,Odyssey,ody
1,Impulse,Visions,vis
1,Hymn to Tourach,Fallen Empires,fem
1,Hall of Gemstone,Mirage,mir
1,Gush,Mercadian Masques,mmq
