Quantity,Name,Finish,Condition,Language,Date Added,Tags,Edition Name,Edition Code,Multiverse Id,Scryfall ID,Collector Number
1,Tangled Islet,Normal,NM,EN,2023-01-25 11:31:48.613637+00:00,,Dominaria United,dmu,574738,4a325fb4-fe71-47f1-9a2f-05b8cfe88fe6,258
1,Sulfur Falls,Normal,NM,EN,2023-01-25 11:30:58.548545+00:00,,Dominaria Remastered,dmr,0,6d3e12e4-6122-41d8-8ffb-a883d02d3278,258
2,Command Tower,Normal,NM,EN,2023-01-25 11:30:48.926883+00:00,,Starter Commander Decks,scd,0,cae0c9e0-3be9-4151-9d59-658a032c30e9,297
2,Sol Ring,Normal,NM,EN,2023-01-25 11:30:30.076340+00:00,,Starter Commander Decks,scd,0,1b023575-4cb5-434f-92ef-d3b81aaa3c3e,276
1,Smoldering Marsh,Normal,NM,EN,2023-01-25 11:30:14.374550+00:00,,Starter Commander Decks,scd,0,734dc7f3-b370-48ca-b6f7-2d4423797bbf,319
2,Talisman of Indulgence,Normal,NM,EN,2023-01-25 11:30:02.145974+00:00,,"Warhammer 40,000 Commander",40k,582506,2844e7be-32d2-41dd-9a03-eab9fd09bf14,257
1,And They Shall Know No Fear,Normal,NM,EN,2023-01-25 11:29:47.324610+00:00,,"Warhammer 40,000 Commander",40k,580831,84d1bcef-907c-4c3a-8b52-6e633fa19667,9
2,Dragonskull Summit,Normal,NM,EN,2023-01-25 11:29:35.670204+00:00,,Dominaria United Commander,dmc,578823,8c5a9cb7-6c97-47fd-acd0-bc6dd11b77b4,207
1,Exotic Orchard,Normal,NM,EN,2023-01-25 11:29:21.413747+00:00,,Midnight Hunt Commander,mic,539434,ac8f8625-3f15-42c8-96da-24528dc4355b,173
1,Somberwald Sage,Normal,NM,EN,2023-01-25 11:29:07.010104+00:00,,Midnight Hunt Commander,mic,539405,6090c799-6cc3-4fc3-b5e6-8920678c67c1,144
1,Slayers' Stronghold,Normal,NM,EN,2023-01-25 11:28:56.158155+00:00,,Commander 2021,c21,519353,d72b33dd-942d-4374-8f9a-7382303bee2b,318
1,Plains,Normal,NM,EN,2023-01-25 11:28:12.381905+00:00,,Jumpstart,jmp,489629,efe75b38-c145-420e-9446-f2ac443ab3a5,45
1,"Marisi, Breaker of the Coil",Foil,NM,EN,2023-01-25 11:27:49.484889+00:00,,Commander 2019,c19,470592,c366e1c0-f62d-41ce-baec-de11dbc1c5f4,46
1,"Thalia, Heretic Cathar",Normal,NM,EN,2023-01-25 11:27:27.121114+00:00,,Secret Lair 30th Anniversary Countdown Kit,slc,0,6150ba46-ab04-4906-8497-8c7441c52442,2016
1,The Mightstone and Weakstone,Normal,NM,EN,2023-01-25 11:27:13.033317+00:00,,The Brothers' War,bro,588289,02aea379-b444-46a3-82f4-3038f698d4f4,238a
1,Kazuul's Fury // Kazuul's Cliffs,Normal,NM,EN,2023-01-25 11:27:03.347006+00:00,,Zendikar Rising,znr,491786,75240bbc-adc7-48ff-9523-c79776d710d3,146
1,Animate Dead,Normal,NM,EN,2023-01-25 11:26:54.025185+00:00,,The List,plist,0,4c732dc7-dd6b-4cc1-bbe0-ff3b1d2c7419,420
1,Woodland Cemetery,Normal,NM,EN,2023-01-23 10:12:36.272139+00:00,,Dominaria Remastered,dmr,0,2100b00b-a7de-4e36-a83b-1ce1fa427cc2,261
1,Hinterland Harbor,Normal,NM,EN,2023-01-23 10:12:11.781742+00:00,,Dominaria Remastered,dmr,0,da629db7-c200-43ed-8de2-a5859b639a6d,248
1,Isolated Chapel,Normal,NM,EN,2023-01-23 10:10:19.169427+00:00,,Dominaria Remastered,dmr,0,d359281b-b509-41be-a820-c7ac9f36f27f,249
1,Isolated Chapel,Normal,NM,EN,2023-01-23 10:07:44.034006+00:00,,Dominaria Remastered,dmr,0,d359281b-b509-41be-a820-c7ac9f36f27f,249
1,Clifftop Retreat,Normal,NM,EN,2023-01-23 10:07:21.441776+00:00,,Dominaria Remastered,dmr,0,7c5f775a-2eb3-4151-b21d-9fe62ae17f54,241
