card
Acclaimed Contender
Agent of Erebos
Alms Collector
Animal Sanctuary
Animate Dead
Anointed Procession
Ao, the Dawn Sky
Arasta of the Endless Web
Archon of Sun's Grace
Armored Skyhunter
Artificer Class
Aryel, Knight of Windgrace
Bala Ged Recovery // Bala Ged Sanctuary
Bar the Gate
Base Camp
Basri's Lieutenant
Bident of Thassa
Bitterblossom
Black Market Tycoon
Blightstep Pathway // Searstep Pathway
Bloodline Pretender
Bojuka Bog
Bonders' Enclave
Boros Charm
Boseiju, Who Endures
Brallin, Skyshark Rider
Branchloft Pathway // Boulderloft Pathway
Brightclimb Pathway // Grimclimb Pathway
Brimaz, King of Oreskos
Bronzehide Lion
Cabaretti Courtyard
Cinder Glade
Conclave Mentor
Corpsejack Menace
Counterspell
Cubwarden
Dance of the Dead
Dauntless Bodyguard
Deadeye Navigator
Deflecting Swat
Descendants' Path
Dire Tactics
Dolmen Gate
Embercleave
Exotic Orchard
Fabled Passage
Favorable Winds
Feline Sovereign
Felisa, Fang of Silverquill
Fetid Heath
Fighter Class
Finale of Devastation
Forsworn Paladin
Glint-Horn Buccaneer
Grakmaw, Skyclave Ravager
Guardian of Faith
Hanweir Garrison
Heirloom Blade
Inspiring Veteran
Invisible Stalker
Iroas, God of Victory
Jetmir's Garden
Jungle Shrine
Kaheera, the Orphanguard
Kamahl's Druidic Vow
Keeper of Fables
Kessig Wolf Run
Kinsbaile Cavalier
Knight Exemplar
Knight of the Ebon Legion
Knights' Charge
Kodama of the West Tree
Leonin Warleader
Lion Sash
Loyal Warhound
Mangara, the Diplomat
Marisi, Breaker of the Coil
Masked Vandal
Maskwood Nexus
Mazirek, Kraul Death Priest
Midnight Reaper
Mirri, Weatherlight Duelist
Mirror Entity
Morbid Opportunist
Murderous Rider // Swift End
Mystic Remora
Necromancy
Needleverge Pathway // Pillarverge Pathway
Niv-Mizzet, Parun
Nomad Outpost
Obscura Storefront
Old Rutstein
Opposition Agent
Pack Leader
Paladin Class
Path of Ancestry
Phyrexian Scriptures
Pitiless Plunderer
Prava of the Steel Legion
Pride Sovereign
Prismatic Vista
Puresteel Paladin
Qasali Pridemage
Qasali Slingers
Reconnaissance
Regal Caracal
Reki, the History of Kamigawa
Rhythm of the Wild
Rin and Seri, Inseparable
Robe of Stars
Saffi Eriksdotter
Sakashima of a Thousand Faces
Samut, Voice of Dissent
Sandsteppe Citadel
Secluded Courtyard
Sefris of the Hidden Ways
Selfless Savior
Shalai, Voice of Plenty
Shamanic Revelation
Shared Animosity
Sigarda's Aid
Silverblade Paladin
Smoldering Marsh
Stalking Leonin
Stormfist Crusader
Sulfurous Springs
Sword of the Animist
Syr Gwyn, Hero of Ashvale
Talisman of Indulgence
Taurean Mauler
The Celestus
Tournament Grounds
Tramway Station
Unclaimed Territory
Unsettled Mariner
Valiant Knight
Varragoth, Bloodsky Sire
Void Rend
Wastes
Welcoming Vampire
Wintermoor Commander
Yahenni, Undying Partisan
Yasharn, Implacable Earth
Yawgmoth's Vile Offering
Yuan-Ti Malison
